Number of Vertices,Edge Probability,Average Edges,Average Opperations,Differance of Expected and Counted as a Ratio
430,0.8999999999999999,166408.401,171137.401,1.025767449065878
440,0.8999999999999999,174239.4378,179078.4378,1.0251832731740107
450,0.8999999999999999,182251.325,187200.325,1.0246248898304378
460,0.8999999999999999,190440.9038,195499.9038,1.0240910331405146
470,0.8999999999999999,198809.4828,203978.4828,1.0235799487934039
480,0.8999999999999999,207358.4428,212637.4428,1.0230900498259508
490,0.8999999999999999,216090.1834,221479.1834,1.0226197980031815
500,0.8999999999999999,224998.6244,230497.6244,1.022168649646095
10,0.9999999999999999,100.0,209.0,1.9
20,0.9999999999999999,400.0,619.0,1.473809523809524
30,0.9999999999999999,900.0,1229.0,1.321505376344086
40,0.9999999999999999,1600.0,2039.0,1.2432926829268294
50,0.9999999999999999,2500.0,3049.0,1.195686274509804
60,0.9999999999999999,3600.0,4259.0,1.1636612021857924
70,0.9999999999999999,4900.0,5669.0,1.1406438631790745
80,0.9999999999999999,6400.0,7279.0,1.1233024691358025
90,0.9999999999999999,8100.0,9089.0,1.1097680097680098
100,0.9999999999999999,10000.0,11099.0,1.098910891089109
110,0.9999999999999999,12100.0,13309.0,1.09000819000819
120,0.9999999999999999,14400.0,15719.0,1.0825757575757575
130,0.9999999999999999,16900.0,18329.0,1.0762771579565473
140,0.9999999999999999,19600.0,21139.0,1.070871327254306
150,0.9999999999999999,22500.0,24149.0,1.0661810154525386
160,0.9999999999999999,25600.0,27359.0,1.0620729813664596
170,0.9999999999999999,28900.0,30769.0,1.0584451324389406
180,0.9999999999999999,32400.0,34379.0,1.0552179251074278
190,0.9999999999999999,36100.0,38189.0,1.0523284651419125
200,0.9999999999999999,40000.0,42199.0,1.049726368159204
210,0.9999999999999999,44100.0,46409.0,1.0473707966598962
220,0.9999999999999999,48400.0,50819.0,1.045228301110654
230,0.9999999999999999,52900.0,55429.0,1.0432712215320912
240,0.9999999999999999,57600.0,60239.0,1.0414764868603044
250,0.9999999999999999,62500.0,65249.0,1.039824701195219
260,0.9999999999999999,67600.0,70459.0,1.0382994400235779
270,0.9999999999999999,72900.0,75869.0,1.0368867022003554
280,0.9999999999999999,78400.0,81479.0,1.035574478901881
290,0.9999999999999999,84100.0,87289.0,1.0343524114231544
300,0.9999999999999999,90000.0,93299.0,1.0332115171650056
310,0.9999999999999999,96100.0,99509.0,1.0321439684680012
320,0.9999999999999999,102400.0,105919.0,1.0311429127725857
330,0.9999999999999999,108900.0,112529.0,1.0302023253684884
340,0.9999999999999999,115600.0,119339.0,1.0293168880455408
350,0.9999999999999999,122500.0,126349.0,1.0284818884818885
360,0.9999999999999999,129600.0,133559.0,1.027693136349646
370,0.9999999999999999,136900.0,140969.0,1.0269468929846288
380,0.9999999999999999,144400.0,148579.0,1.026239812128747
390,0.9999999999999999,152100.0,156389.0,1.025568889763263
400,0.9999999999999999,160000.0,164399.0,1.024931421446384
